127.0.0.1 - - [21/Nov/2017:12:03:58 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/ HTTP/1.1" 200 26614
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/gulpfile.js;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/vendor/jquery-easing/jquery.easing.min.js;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/js/sb-admin-datatables.min.js;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/vendor/jquery/jquery.min.js;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/js/sb-admin.min.js;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/vendor/datatables/dataTables.bootstrap4.js;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 4678
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/vendor/bootstrap/js/bootstrap.bundle.min.js;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/js/main.js;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/js/sb-admin-charts.min.js;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/vendor/font-awesome/css/font-awesome.min.css;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/js/jquery.validate.js;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 48696
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/vendor/datatables/dataTables.bootstrap4.css;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 5604
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/vendor/datatables/jquery.dataTables.js;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 445792
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/css/sb-admin.css;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 12302
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/vendor/chart.js/Chart.min.js;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 157415
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:03 -0600] "GET /GameMaven/resources/vendor/bootstrap/css/bootstrap.min.css;jsessionid=3579D6EA0B73BBE298F8853C6B3BD522 HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:06 -0600] "GET /GameMaven/resources/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:04:07 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/adminLogin HTTP/1.1" 200 13798
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/gulpfile.js HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/vendor/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/vendor/datatables/dataTables.bootstrap4.js HTTP/1.1" 200 4678
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/js/sb-admin-datatables.min.js HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/js/sb-admin-charts.min.js HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/js/sb-admin.min.js HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/js/main.js HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/vendor/datatables/jquery.dataTables.js HTTP/1.1" 200 445792
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 69453
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/js/jquery.validate.js HTTP/1.1" 200 48696
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/vendor/datatables/dataTables.bootstrap4.css HTTP/1.1" 200 5604
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/css/sb-admin.css HTTP/1.1" 200 12302
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/vendor/chart.js/Chart.min.js HTTP/1.1" 200 157415
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:05 -0600] "GET /GameMaven/resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:06 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:14 -0600] "GET /GameMaven/adminLogin HTTP/1.1" 200 13798
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:15 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:20 -0600] "GET /GameMaven/register HTTP/1.1" 200 16904
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:21 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:12:08:25 -0600] "GET /GameMaven/adminLogin HTTP/1.1" 200 13798
